Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
Aleut01-KS,47-100602,600,2.02Q,52-19.007 N,,178-31.240 E,,1092,6/2/2010,8/26/2010,R,200,0,0,0,6/3/2010,0:00:00,7/20/2010,11:15:00,48
Aleut02-BD,47-100826,600,2.02Q_B,52-38.000 N,,175-37.990 E,,783,8/26/2010,5/29/2011,R,200,0,0,0,8/27/2010,0:00:00,5/26/2011,8:05:00,273
Aleut03-BD,47-110530,600,2.02S,52-04.560 N,,175-38.390 E,,777,5/30/2011,8/18/2012,R,200,10,5,0,5/31/2011,0:00:00,8/26/2012,19:51:15,454
Antarc01-EI,05-140219,725,2.02S,60-53.214 S,,55-57.238 W,,762,2/16/2014,1/30/2015,R,200,6,5,1,3/5/2014,0:00:00,7/14/2014,12:03:50,134.5
Antarc_EA_01,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2/2/2019,20:00:00,2/18/2019,10:46:15,15.6
Antarc_EIE_01,106-160203,729,2.84,61-15.112 S,,53-29.006 W,,1033,2/3/2016,1/23/2017,R,200,0,0,0,2/3/2016,23:59:59,12/2/2016,5:15:05,302.2
Antarc_SSI_01,05-150209,725,2.02S,61-27.469 S,,57-56.515 W,,768,2/9/2015,1/29/2016,R,200,13.33333333,10,1,2/10/2015,0:00:00,1/29/2016,13:15:25,353.6
ARCTIC01-A,06-060925,324,1.17,72-10.569 N,,156-33.176 W,,230,9/26/2006,8/17/2007,R,32,0,0,1,9/26/2006,12:00:00,1/31/2007,6:34:41,128
ARCTIC01-B,07-060925,325,1.17,72-27.523 N,,157-23.364 W,,246,9/25/2006,8/17/2007,R,32,0,0,1,9/26/2006,0:00:00,5/31/2007,14:02:30,248
ARCTIC02-B,07-070915,325,1.17,72-27.626 N,,157-23.932 W,,235,9/15/2007,8/14/2008,R,32,14,7,1,9/16/2007,0:00:00,6/27/2008,21:11:28,286
ARCTIC02-C,06-070914,409,1.17,72-47.908 N,,158-23.880 W,,328,9/14/2007,8/14/2008,R,32,14,7,1,9/16/2007,0:00:00,4/1/2008,15:43:28,199
ARCTIC03-B,07-080904,410,1.17,72-27.645 N,,157-23.947 W,,234,9/5/2008,8/17/2009,R,32,14,7,0,9/6/2008,0:00:00,6/7/2009,17:33:00,274
ARCTIC03-C,06-080905,474,1.17,72-47.926 N,,158-23.913 W,,327,9/5/2008,8/7/2009,R,32,14,7,0,9/6/2008,0:00:00,3/14/2009,2:47:28,189
ARCTIC04-A2,11-090914,493,1.17B,72-06.899 N,,155-44.051 W,,250,9/14/2009,NULL,S,32,0,0,0,9/15/2010,0:00:00,NULL,NULL,NULL
ARCTIC04-B,07-090914,563,1.17,72-27.670 N,,157-23.987 W,,235,9/14/2009,9/10/2010,R,32,0,0,1,9/14/2009,18:00:00,7/29/2010,17:54:03,318
ARCTIC04-C,06-090914,562,1.17,72-47.941 N,,158-23.937 W,,337,9/14/2009,9/11/2010,R,32,0,0,1,9/14/2009,16:00:00,8/19/2010,19:27:11,339
ARCTIC05-B,07-100911,563,1.17,72-27.650 N,,157-23.770 W,,274,9/11/2010,10/8/2011,S,32,0,0,0,9/11/2010,23:59:59,NULL,NULL,NULL
ARCTIC05-C,06-100923,562,1.17,72-47.939 N,,158-23.941 W,,343,9/23/2010,10/8/2011,R,32,0,0,0,9/22/2010,18:00:00,8/27/2011,21:11:33,339
ARCTIC06-C,06-111009,655,2.02S,72-47.400 N,,158-23.940 W,,340,10/9/2011,10/9/2012,S,200,15,10,0,10/9/2011,0:00:00,NULL,NULL,NULL
ARCTIC07-C2,54-121012,681,2.02S,72-48.008 N,,158-24.756 W,,321,10/12/2012,10/13/2013,R,200,15,10,0,10/12/2012,12:00:00,8/6/2013,8:36:15,298
ARCTIC07-D,37-121011,684,2.02S,72-36.909 N,,158-42.151 W,,100,10/11/2012,10/13/2013,R,200,15,10,0,10/12/2012,1:00:00,10/14/2013,2:01:34,367
ARCTIC08-C2,37-131015,681,2.02S,72-48.010 N,,158-24.760 W,,322,10/15/2013,7/21/2014,R,200,12,10,0,10/16/2013,12:00:00,7/21/2014,22:48:00,278.4
