Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,,Longitude,,Depth_m,Deploy_Date,Recovery_Date,Status,Sample_Rate,Cycle_Int,Duty_Dur,Prob_Set,Data_Start_Date,Data_Start_Time,Data_End_Date,Data_End_Time,Rec_Dur
SOCAL_01_B,13_050813,311,1.17,34_16.434 N,,120_01.499 W,,600,8/13/2005,?,R,200,0,0,0,8/15/2005,12:00:00,9/29/2005,17:18:45,45
SOCAL_01_C,10_050814,112,1.17,34_18.992 N,,120_48.304 W,,730,8/14/2005,?,R,200,0,0,0,8/13/2005,0:00:00,9/28/2005,17:18:45,46
SOCAL_02_B,08_051005,200,1.17,34_16.480 N,,120_01.414 W,,580,10/5/2005,5/14/2006,R,200,15,5,0,10/5/2005,18:00:00,1/24/2006,22:09:28,112
SOCAL_02_C,07_051006,202,1.17,34_18.950 N,,120_48.053 W,,828,10/6/2005,?,R,200,15,5,0,10/6/2005,2:00:00,1/17/2006,1:09:28,104
SOCAL_05_C,18_060901,307,1.17B,34 18.950 N,,120_48.053 W,,800,9/1/2006,1/19/2007,R,200,0,0,0,9/2/2006,0:00:00,10/23/2006,17:14:49,52
SOCAL_09_B,14_061117,325,1.17*,34_16.469 N,,120_01.372 W,,582,11/17/2006,1/19/2007,R,200,0,0,0,11/18/2006,0:00:00,1/9/2007,0:37:30,53
SOCAL_10_C,25_070119,325,1.17B,34_18.621 N,,120_47.925 W,,766,1/19/2007,3/26/2007,R,200,0,0,0,1/19/2007,18:00:00,3/15/2007,12:20:00,56
SOCAL_11_B,24_070225,309,1.17B,34_16.500 N,,120_01.520 W,,581,2/25/2007,4/21/2007,R,200,0,0,0,2/25/2007,19:00:00,4/21/2007,13:18:45,56
SOCAL_12_B,11_070403,356,1.17,33_15.149 N,,118_14.991 W,,200,4/3/2007,5/9/2007,R,200,0,0,0,3/9/2007,0:00:00,4/26/2007,7:05:57,49
SOCAL_13_C,25_070326,325,1.17B,34_18.598 N,,120_47.890 W,,768,3/26/2007,7/11/2007,R,200,10,5,0,3/26/2007,23:30:00,7/12/2007,18:55:00,109
